arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,rotor,hll,85,2.9862088889e-02,2.9397734439e-04,3.4016226729e+00,2.1553115314e+00,2.3477708314e+00,3.4016226729e+00,1.3005377738e+01,8.7003785822e-01,2.5529909554e+00,5.9992678172e-01,2.7574373927e+00,1.5809971611e+00,0.0000000000e+00,2.5354887289e-01,9.1611942430e+03,1.7168978825e+01,0
cpu,rotor,hll,90,3.1325995498e-02,2.9105039229e-04,3.4358311361e+00,2.1826809493e+00,2.3723196160e+00,3.4358311361e+00,1.3030184559e+01,8.6980982714e-01,2.5610032985e+00,5.8939807917e-01,2.7737782878e+00,1.5788043831e+00,0.0000000000e+00,2.4437483528e-01,9.1492968427e+03,1.5936030048e+01,0
cpu,rotor,hll,95,3.2775650889e-02,2.8846554933e-04,3.4666184656e+00,2.2110929470e+00,2.3974152353e+00,3.4666184656e+00,1.3019733456e+01,8.7012643231e-01,2.5789933494e+00,5.7973352309e-01,2.7888551493e+00,1.5746189908e+00,0.0000000000e+00,2.4046496759e-01,9.1529046023e+03,1.5823375678e+01,0
cpu,rotor,hll,100,3.4213196876e-02,2.8611039533e-04,3.4951543751e+00,2.2361123253e+00,2.4214582559e+00,3.4951543751e+00,1.2981469269e+01,8.7081581407e-01,2.5824132866e+00,5.7140743295e-01,2.8024302531e+00,1.5739555805e+00,0.0000000000e+00,2.6042359019e-01,9.2455942288e+03,1.5359316039e+01,0
cpu,rotor,hll,105,3.5640072944e-02,2.8415362130e-04,3.5192231422e+00,2.2587673557e+00,2.4430536431e+00,3.5192231422e+00,1.3001690042e+01,8.7177131203e-01,2.5818851154e+00,5.4980709790e-01,2.8117167444e+00,1.5720053227e+00,0.0000000000e+00,2.2696927380e-01,9.2861947801e+03,1.4469967665e+01,0
cpu,rotor,hll,110,3.7057371781e-02,2.8252379082e-04,3.5395249267e+00,2.2837947615e+00,2.4667111118e+00,3.5395249267e+00,1.3017134405e+01,8.7293355271e-01,2.5835979001e+00,5.2884044242e-01,2.8210349307e+00,1.5721255169e+00,0.0000000000e+00,2.3667948896e-01,9.1007782041e+03,1.4454827017e+01,0
cpu,rotor,hll,115,3.8466321927e-02,2.8084188075e-04,3.5607224868e+00,2.3052651572e+00,2.4866923023e+00,3.5607224868e+00,1.2997010327e+01,8.7416964675e-01,2.5887691797e+00,5.0891757511e-01,2.8295975730e+00,1.5696286143e+00,0.0000000000e+00,2.4931991308e-01,9.0898396819e+03,1.3840259107e+01,0
cpu,rotor,hll,120,3.9868003145e-02,2.7942746556e-04,3.5787462697e+00,2.3252175885e+00,2.5081525531e+00,3.5787462697e+00,1.2972042029e+01,8.7559108277e-01,2.5903905681e+00,4.8953680115e-01,2.8357028467e+00,1.5685350585e+00,0.0000000000e+00,2.1551010407e-01,9.2558216902e+03,1.4400860207e+01,0
cpu,rotor,hll,125,4.1262730286e-02,2.7833381542e-04,3.5928081483e+00,2.3470301025e+00,2.5275847127e+00,3.5928081483e+00,1.2986512167e+01,8.7717982255e-01,2.5916620304e+00,4.7084774855e-01,2.8416763304e+00,1.5660213228e+00,0.0000000000e+00,2.2272212759e-01,9.4142007061e+03,1.4214495381e+01,0
cpu,rotor,hll,130,4.2651429551e-02,2.7699452177e-04,3.6101797017e+00,2.3645502011e+00,2.5471443437e+00,3.6101797017e+00,1.2978228447e+01,8.7890042828e-01,2.5912652755e+00,4.5268483626e-01,2.8466184805e+00,1.5629781709e+00,0.0000000000e+00,2.3065325905e-01,9.5225139551e+03,1.3288229059e+01,0
cpu,rotor,hll,135,4.4034577265e-02,2.7595325963e-04,3.6238020937e+00,2.3850190256e+00,2.5652675596e+00,3.6238020937e+00,1.2952986020e+01,8.8072293698e-01,2.5912902387e+00,4.3559736955e-01,2.8505074662e+00,1.5588552585e+00,0.0000000000e+00,2.1170706996e-01,9.6429099930e+03,1.2773819069e+01,0
cpu,rotor,hll,140,4.5412247202e-02,2.7501630079e-04,3.6361481015e+00,2.4021130642e+00,2.5831124394e+00,3.6361481015e+00,1.2972351720e+01,8.8262302613e-01,2.5896818430e+00,4.1851647261e-01,2.8530683542e+00,1.5546803339e+00,0.0000000000e+00,2.1521116724e-01,9.7435660484e+03,1.2236374010e+01,0
cpu,rotor,hll,145,4.6785626949e-02,2.7407765243e-04,3.6486010120e+00,2.4200584503e+00,2.5997567132e+00,3.6486010120e+00,1.2960516509e+01,8.8453224918e-01,2.5918948060e+00,4.0256397766e-01,2.8542795374e+00,1.5504733205e+00,0.0000000000e+00,2.1128737854e-01,9.8187070589e+03,1.1375866259e+01,0
cpu,rotor,hll,150,4.8154559746e-02,2.7345943020e-04,3.6568495710e+00,2.4367752369e+00,2.6171426025e+00,3.6568495710e+00,1.2955380463e+01,8.8642966286e-01,2.5913792302e+00,3.8745393496e-01,2.8555321840e+00,1.5458712696e+00,0.0000000000e+00,2.1635346036e-01,9.9262878048e+03,1.1445219120e+01,0
cpu,rotor,hll,155,4.9519917069e-02,2.7259233213e-04,3.6684817661e+00,2.4534870775e+00,2.6326541768e+00,3.6684817661e+00,1.2972497877e+01,8.8839038494e-01,2.5913435246e+00,3.7273548115e-01,2.8557866816e+00,1.5402791663e+00,0.0000000000e+00,2.1321165400e-01,1.0029437616e+04,1.1831546435e+01,0
cpu,rotor,hll,160,5.0881887202e-02,2.7200060016e-04,3.6764624763e+00,2.4690536032e+00,2.6490332036e+00,3.6764624763e+00,1.2947351748e+01,8.9040953835e-01,2.5896112140e+00,3.5821712621e-01,2.8547752728e+00,1.5350324213e+00,0.0000000000e+00,2.1692940547e-01,1.0119144325e+04,1.1120494946e+01,0
cpu,rotor,hll,165,5.2240346213e-02,2.7132219485e-04,3.6856549851e+00,2.4848330368e+00,2.6631397863e+00,3.6856549851e+00,1.2966084252e+01,8.9246842357e-01,2.5858255512e+00,3.4488409982e-01,2.8534759062e+00,1.5291013099e+00,0.0000000000e+00,2.2212967078e-01,1.0193357274e+04,1.0432528829e+01,0
cpu,rotor,hll,170,5.3596132019e-02,2.7078488352e-04,3.6929683334e+00,2.4991303536e+00,2.6790453383e+00,3.6929683334e+00,1.2965221120e+01,8.9455410240e-01,2.5803622449e+00,3.3205300431e-01,2.8512710481e+00,1.5237605278e+00,0.0000000000e+00,2.1672474605e-01,1.0304806371e+04,1.0275576204e+01,0
cpu,rotor,hll,175,5.4948889669e-02,2.7029213097e-04,3.6997007512e+00,2.5143127677e+00,2.6920511124e+00,3.6997007512e+00,1.2942076423e+01,8.9657208044e-01,2.5735407134e+00,3.1978767550e-01,2.8487696592e+00,1.5172124601e+00,0.0000000000e+00,2.3023440665e-01,1.0388848269e+04,1.0390983407e+01,0
