arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hll,85,4.7760915774e-01,5.3257450397e-03,2.4578663252e+00,1.2781384005e+00,1.2655553315e+00,2.4578663252e+00,5.4800800249e+00,2.1501621040e+00,5.2074221472e+00,1.0866498205e+00,1.0989109859e+00,1.1636139436e+00,0.0000000000e+00,4.9721593800e-02,1.3142781742e+02,1.5665781177e-01,0
cpu,orszag_tang,hll,90,5.0420029086e-01,5.3071609662e-03,2.4664730302e+00,1.2912950981e+00,1.2860000584e+00,2.4664730302e+00,5.8258844796e+00,2.1013055048e+00,5.7769216537e+00,1.0457654766e+00,1.1267275144e+00,1.1996718272e+00,0.0000000000e+00,6.5894501681e-02,1.5138912482e+02,2.1981454119e-01,0
cpu,orszag_tang,hll,95,5.3070517106e-01,5.2921601087e-03,2.4734643550e+00,1.3202959455e+00,1.3111934238e+00,2.4734643550e+00,6.1534033934e+00,2.0530934440e+00,6.3417667639e+00,1.0059959739e+00,1.1656945230e+00,1.2525039054e+00,0.0000000000e+00,8.5248908924e-02,1.7921956986e+02,2.9376117159e-01,0
cpu,orszag_tang,hll,100,5.5713972342e-01,5.2805467408e-03,2.4789041803e+00,1.3509409339e+00,1.3338389253e+00,2.4789041803e+00,6.4463006376e+00,2.0055400395e+00,6.8696559271e+00,9.6743603697e-01,1.2211139644e+00,1.3235680649e+00,0.0000000000e+00,1.0705666356e-01,2.1593766948e+02,3.7267615702e-01,0
cpu,orszag_tang,hll,105,5.8352154534e-01,5.2713041598e-03,2.4832506327e+00,1.3813857629e+00,1.3569537305e+00,2.4832506327e+00,6.6908829255e+00,1.9587791259e+00,7.3293430528e+00,9.3010938814e-01,1.2944575696e+00,1.4103473949e+00,0.0000000000e+00,1.2967011270e-01,2.5824342476e+02,4.4644670964e-01,0
cpu,orszag_tang,hll,110,6.0986719702e-01,5.2658282616e-03,2.4858329478e+00,1.4129559182e+00,1.3887362935e+00,2.4858329478e+00,6.8805502903e+00,1.9128476252e+00,7.6999082447e+00,8.9401404569e-01,1.3825390537e+00,1.5046920612e+00,0.0000000000e+00,1.5136788541e-01,3.0554994170e+02,4.8040807146e-01,0
cpu,orszag_tang,hll,115,6.3619272854e-01,5.2640292950e-03,2.4866824739e+00,1.4471402259e+00,1.4242049799e+00,2.4866824739e+00,7.0155193399e+00,1.8677719730e+00,7.9736079853e+00,8.5914301274e-01,1.4756821114e+00,1.6001137896e+00,0.0000000000e+00,1.7089060091e-01,3.5755921098e+02,4.9280354634e-01,0
cpu,orszag_tang,hll,120,6.6251383388e-01,5.2658589794e-03,2.4858184469e+00,1.4826845339e+00,1.4629631884e+00,2.4858184469e+00,7.0987170299e+00,1.8235708433e+00,8.1511452386e+00,8.2536738713e-01,1.5705556704e+00,1.6898633902e+00,0.0000000000e+00,1.9206954770e-01,4.1174476707e+02,5.4876447877e-01,0
cpu,orszag_tang,hll,125,6.8884819299e-01,5.2698049755e-03,2.4839570821e+00,1.5182763638e+00,1.5005226886e+00,2.4839570821e+00,7.1452365447e+00,1.7800808085e+00,8.2596871239e+00,7.9276201339e-01,1.6616383345e+00,1.7658740739e+00,0.0000000000e+00,2.1291330697e-01,4.6932902698e+02,5.6979137984e-01,0
cpu,orszag_tang,hll,130,7.1521162154e-01,5.2772403125e-03,2.4804573252e+00,1.5510895712e+00,1.5386181941e+00,2.4804573252e+00,7.1602035849e+00,1.7374386015e+00,8.3077881499e+00,7.6131281311e-01,1.7467685394e+00,1.8347268629e+00,0.0000000000e+00,2.2802236994e-01,5.2875015188e+02,5.9545402606e-01,0
cpu,orszag_tang,hll,135,7.4162028644e-01,5.2884150177e-03,2.4752159855e+00,1.5802389813e+00,1.5724946381e+00,2.4752159855e+00,7.1485603592e+00,1.6956515087e+00,8.3036590195e+00,7.3098766903e-01,1.8206390102e+00,1.8895481156e+00,0.0000000000e+00,2.4052408027e-01,5.9396746233e+02,6.0293947142e-01,0
