arch,case,solver,step,t,dt,ch_glm,max_cf_x,max_cf_y,max_speed,max_rho,min_rho,max_p,min_p,max_abs_Bx,max_abs_By,max_abs_Bz,max_abs_psi,divB_L1,divB_max,n_floor_triggered
cpu,orszag_tang,hllc,85,4.7739825003e-01,5.3213384044e-03,2.4599017005e+00,1.2785996669e+00,1.2658129650e+00,2.4599017005e+00,5.5326934143e+00,2.1495367740e+00,5.2605960395e+00,1.0861980465e+00,1.0987233193e+00,1.1640475309e+00,0.0000000000e+00,6.0412650888e-02,1.5869621832e+02,1.8109915496e-01,0
cpu,orszag_tang,hllc,90,5.0396756825e-01,5.3028053878e-03,2.4684989232e+00,1.2920116885e+00,1.2859263663e+00,2.4684989232e+00,5.8958286995e+00,2.1005660526e+00,5.8495878154e+00,1.0451544963e+00,1.1262281421e+00,1.2003146554e+00,0.0000000000e+00,8.1779188767e-02,1.8789387008e+02,2.4407918079e-01,0
cpu,orszag_tang,hllc,95,5.3044948655e-01,5.2879184352e-03,2.4754484303e+00,1.3219348746e+00,1.3105991022e+00,2.4754484303e+00,6.2400393482e+00,2.0521429442e+00,6.4309536587e+00,1.0052765164e+00,1.1655834534e+00,1.2555783151e+00,0.0000000000e+00,1.0628542339e-01,2.2484934501e+02,3.0179448340e-01,0
cpu,orszag_tang,hllc,100,5.5686119853e-01,5.2754852331e-03,2.4812825383e+00,1.3527852238e+00,1.3318764107e+00,2.4812825383e+00,6.5473517487e+00,2.0043529124e+00,6.9685525079e+00,9.6654551133e-01,1.2219060985e+00,1.3321889192e+00,0.0000000000e+00,1.3389138172e-01,2.6634145400e+02,3.8146882642e-01,0
cpu,orszag_tang,hllc,105,5.8322007707e-01,5.2664612387e-03,2.4855341750e+00,1.3852872564e+00,1.3587140717e+00,2.4855341750e+00,6.8057965688e+00,1.9574212468e+00,7.4339667835e+00,9.2903747200e-01,1.2979330913e+00,1.4244364719e+00,0.0000000000e+00,1.6209961074e-01,3.1775719930e+02,4.3995845580e-01,0
cpu,orszag_tang,hllc,110,6.0954214106e-01,5.2612302921e-03,2.4880054024e+00,1.4179823355e+00,1.3915419323e+00,2.4880054024e+00,7.0148617778e+00,1.9113984834e+00,7.8190054165e+00,8.9275764043e-01,1.3882606468e+00,1.5235323900e+00,0.0000000000e+00,1.9330912513e-01,3.7861671798e+02,4.9972974918e-01,0
cpu,orszag_tang,hllc,115,6.3584350785e-01,5.2595652199e-03,2.4887930547e+00,1.4536858060e+00,1.4291161472e+00,2.4887930547e+00,7.1671118893e+00,1.8663171616e+00,8.1037705109e+00,8.5773943054e-01,1.4888432998e+00,1.6257768472e+00,0.0000000000e+00,2.2043352816e-01,4.4562268056e+02,5.3402572713e-01,0
cpu,orszag_tang,hllc,120,6.6214071659e-01,5.2605705248e-03,2.4883174417e+00,1.4910929730e+00,1.4683524445e+00,2.4883174417e+00,7.2682405505e+00,1.8221812290e+00,8.2948520480e+00,8.2395919475e-01,1.5913529134e+00,1.7306435725e+00,0.0000000000e+00,2.4207893292e-01,5.3089040673e+02,5.7002789686e-01,0
cpu,orszag_tang,hllc,125,6.8845020252e-01,5.2644506302e-03,2.4864834547e+00,1.5259107563e+00,1.5103832090e+00,2.4864834547e+00,7.3376806976e+00,1.7788247083e+00,8.4265155652e+00,7.9141281511e-01,1.6919277463e+00,1.8533355990e+00,0.0000000000e+00,2.5840149733e-01,6.5138927907e+02,1.0060627617e+00,0
cpu,orszag_tang,hllc,130,7.1478759980e-01,5.2718632107e-03,2.4829872982e+00,1.5789753188e+00,1.5512411108e+00,2.4829872982e+00,7.3704961966e+00,1.7363146694e+00,8.4879565349e+00,7.6005696423e-01,1.7957319222e+00,2.0125571480e+00,0.0000000000e+00,2.7575995233e-01,8.5259371141e+02,1.8117717356e+00,0
