case,gpu_baseline_s,gpu_opt_s,mpi_s,openmp_s,gpu_optimization_speedup,gpu_optimization_time_saved_pct,gpu_opt_speedup_vs_mpi,gpu_opt_speedup_vs_openmp
blast,2.383564827,1.78994,71.0588,94.5202,1.331645,24.904916,39.698984,52.806351
imtg,55.67980058,51.0792,1625.18,2081.79,1.090068,8.262602,31.816865,40.756120
