phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,1,500,1752.102209000,3.504204418,1.596366848,1.711710207,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,2,500,1750.674434000,3.501348868,1.594968064,1.710903291,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,3,500,1751.401651000,3.502803302,1.595121665,1.711466493,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,4,500,1751.823144000,3.503646288,1.595930624,1.712046078,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb0_y16x8_lb0,16,8,0,16,8,0,5,500,1751.608190000,3.503216380,1.596282879,1.711216637,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb0_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,1,500,1754.410965000,3.508821930,1.602103296,1.711202302,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,2,500,1754.480876000,3.508961752,1.601648640,1.711638526,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,3,500,1755.394361000,3.510788722,1.602572288,1.712084991,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,4,500,1754.025898000,3.508051796,1.601255422,1.711441917,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb2_y16x8_lb0,16,8,2,16,8,0,5,500,1754.262502000,3.508525004,1.601906688,1.711386621,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb2_y16x8_lb0/main_gpu
x,x_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,1,500,1652.154987000,3.304309974,1.396508675,1.711644669,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb3_y16x8_lb0/main_gpu
x,x_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,2,500,1652.133957000,3.304267914,1.397411838,1.712216062,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb3_y16x8_lb0/main_gpu
x,x_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,3,500,1652.150789000,3.304301578,1.397215232,1.711566847,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb3_y16x8_lb0/main_gpu
x,x_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,4,500,1650.953298000,3.301906596,1.395795969,1.711241212,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb3_y16x8_lb0/main_gpu
x,x_x16x8_lb3_y16x8_lb0,16,8,3,16,8,0,5,500,1653.335758000,3.306671516,1.399605245,1.712486398,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x16x8_lb3_y16x8_lb0/main_gpu
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,1,500,1751.013700000,3.502027400,1.592647682,1.712885757,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,2,500,1750.621372000,3.501242744,1.592457216,1.712760831,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,3,500,1749.775131000,3.499550262,1.591699455,1.711808511,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,4,500,1749.533105000,3.499066210,1.591699455,1.711794172,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,5,500,1749.690922000,3.499381844,1.591820287,1.711783933,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,1,500,1751.556301000,3.503112602,1.594064896,1.712295937,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,2,500,1750.955921000,3.501911842,1.593815040,1.711986685,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,3,500,1752.534720000,3.505069440,1.594294271,1.715238908,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,4,500,1750.565787000,3.501131574,1.593796606,1.711161343,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31790673_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
