case,solver,n,nx,ny,total_cells,baseline_runs,optimized_runs,baseline_steps,optimized_steps,baseline_median_app_s,optimized_median_app_s,app_elapsed_speedup,baseline_median_wall_s,optimized_median_wall_s,wall_speedup,time_saved_fraction,baseline_wall_mcell_updates_s,optimized_wall_mcell_updates_s,throughput_speedup,baseline_source_job,optimized_source_job
orszag_tang,hlld,1,192,192,36864,3,3,1417,1280,0.3054938,0.1904726,1.6038726830000745,0.90631296,0.62728832,1.4448108327602847,0.30786786939469557,57.63603777661968,75.22206056698138,1.3051219943071026,32263001,31917920
orszag_tang,hlld,2,384,384,147456,3,3,3170,2645,1.425987,0.8726402,1.634106473664633,2.036342784,1.320821504,1.5417244327360677,0.3513756552295667,229.54657912839886,295.2867732837881,1.2863915219517033,32263001,31917920
orszag_tang,hlld,4,768,768,589824,1,1,8054,5419,10.65894,5.265127,2.0244411958154096,11.321578496,5.92758528,1.9099815458074694,0.4764347319506498,419.5918879755475,539.2172537414763,1.285099329119776,32263001,31917920
orszag_tang,hlld,8,1536,1536,2359296,1,1,37366,11108,186.1384,37.2392,4.998453242819394,186.968707584,38.02143488,4.917455329450207,0.7966427892062206,471.5091390167161,689.2706719436675,1.4618394743759806,32263001,31917920
rotor,hlld,1,400,400,160000,3,3,572,561,0.2,0.2,1,0.857746688,0.625016576,1.3723583036620135,0.2713273222221989,106.69816774623325,143.61219117491052,1.3459667978223595,32263001,31917920
rotor,hlld,2,800,800,640000,3,3,1171,1155,1.6,1.2,1.3333333333333335,2.255203072,1.7514176,1.2876444041672301,0.2233880745618283,332.3159715880345,422.0581088142543,1.2700506292170375,32263001,31917920
rotor,hlld,4,1600,1600,2560000,1,1,2371,2348,11.7,8.8,1.3295454545454544,12.40229632,9.44070272,1.3137047831964779,0.23879397198598773,489.406142490877,636.6983664538055,1.300961126505833,32263001,31917920
rotor,hlld,8,3200,3200,10240000,1,1,4774,4747,91.5,68.7,1.3318777292576418,92.59878272,69.786958336,1.326878043232218,0.2463512339355297,527.9309140361019,696.5381664287928,1.3193737057443107,32263001,31917920
