phase,tag,x_bx,x_by,x_lb,y_bx,y_by,y_lb,repeat,measured_steps,wall_ms,ms_per_step,x_ms_per_step,y_ms_per_step,state_hash,correctness,binary
x,x_x32x4_lb0_y16x8_lb0,32,4,0,16,8,0,5,500,1750.560379000,3.501120758,1.589372928,1.714253822,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb0_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,1,500,1753.640561000,3.507281122,1.596067840,1.713463295,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,2,500,1753.789290000,3.507578580,1.595119616,1.714542592,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,3,500,1752.903845000,3.505807690,1.594499071,1.713264638,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,4,500,1751.921967000,3.503843934,1.593534464,1.713616898,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb2_y16x8_lb0,32,4,2,16,8,0,5,500,1753.089259000,3.506178518,1.593888768,1.713803263,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb2_y16x8_lb0/main_gpu
x,x_x32x4_lb3_y16x8_lb0,32,4,3,16,8,0,1,500,1652.012051000,3.304024102,1.395273730,1.712334847,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb3_y16x8_lb0/main_gpu
x,x_x32x4_lb3_y16x8_lb0,32,4,3,16,8,0,2,500,1653.370827000,3.306741654,1.396344836,1.713494015,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb3_y16x8_lb0/main_gpu
x,x_x32x4_lb3_y16x8_lb0,32,4,3,16,8,0,3,500,1652.195116000,3.304390232,1.394798595,1.712531455,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb3_y16x8_lb0/main_gpu
x,x_x32x4_lb3_y16x8_lb0,32,4,3,16,8,0,4,500,1652.492144000,3.304984288,1.395208196,1.713256446,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb3_y16x8_lb0/main_gpu
x,x_x32x4_lb3_y16x8_lb0,32,4,3,16,8,0,5,500,1653.049045000,3.306098090,1.396682753,1.713190913,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x32x4_lb3_y16x8_lb0/main_gpu
x,x_x8x16_lb0_y16x8_lb0,8,16,0,16,8,0,1,500,1797.050409000,3.594100818,1.681305605,1.713817601,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb0_y16x8_lb0/main_gpu
x,x_x8x16_lb0_y16x8_lb0,8,16,0,16,8,0,2,500,1796.926425000,3.593852850,1.683111938,1.713401856,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb0_y16x8_lb0/main_gpu
x,x_x8x16_lb0_y16x8_lb0,8,16,0,16,8,0,3,500,1795.918048000,3.591836096,1.681348611,1.712920575,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb0_y16x8_lb0/main_gpu
x,x_x8x16_lb0_y16x8_lb0,8,16,0,16,8,0,4,500,1796.723714000,3.593447428,1.681922052,1.713397759,b5b8bfe2431aff9b,PASS,/rds/user/hk597/hpc-work/MHD_gpu_acc/tuning/31715299_orszag_tang_hlld_n8/bin/x_x8x16_lb0_y16x8_lb0/main_gpu
