experiment,source_job_task,source_job_id,array_task_id,source_file,is_canonical,backend,case,solver,n,repeat,repeats_requested,build_variant,threads,ranks,nx,ny,total_cells,steps,app_elapsed_s,steps_per_s,Mcell_updates_s,wall_seconds,user_seconds,sys_seconds,cpu_percent,max_rss_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,start_utc,end_utc,exit_status,hostname,git_branch,git_commit
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4653,88.5839,52.53,52.5,88.762572288,6683.07,1.04,7534%,570508,31,5103,865,54678,2026-07-26T07:06:09.052602962+00:00,2026-07-26T07:07:37.827477493+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4653,89.1147,52.21,52.2,89.268274432,6723.83,0.97,7536%,570572,31,5111,867,51908,2026-07-26T07:07:37.996784925+00:00,2026-07-26T07:09:07.277509639+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4653,89.4569,52.01,52.0,89.628333312,6742.90,0.97,7528%,570452,7,5126,2141,56873,2026-07-26T07:09:07.443748083+00:00,2026-07-26T07:10:37.084649674+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4653,84.0482,55.36,55.4,84.213764608,6341.04,0.82,7537%,570228,83,4532,867,51482,2026-07-26T20:21:21.767224382+00:00,2026-07-26T20:22:45.984252859+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,2,2,3,repository_default_openmp,76,0,1000,1000,1000000,4653,84.6553,54.96,55.0,84.787313664,6386.34,0.77,7536%,570500,52,4568,1068,52747,2026-07-26T20:22:46.030255124+00:00,2026-07-26T20:24:10.820808082+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,2,3,3,repository_default_openmp,76,0,1000,1000,1000000,4653,84.4235,55.11,55.1,84.561471488,6369.87,0.86,7537%,570240,5,4633,713,54266,2026-07-26T20:24:10.867588180+00:00,2026-07-26T20:25:35.432119654+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9508,812.2644,11.71,46.8,812.672632576,61323.84,6.31,7547%,2261940,8,5275,5709,479008,2026-07-26T07:25:33.119099077+00:00,2026-07-26T07:39:05.804071107+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32176122_0,32176122,0,32176122_0/cpu_openmp/cpu_openmp_hll.csv,1,cpu_openmp,blast_wave,hll,4,1,1,repository_default_openmp,76,0,2000,2000,4000000,9508,794.6098,11.97,47.9,795.023109376,60024.54,5.48,7551%,2262744,46,5239,43448,445984,2026-07-26T20:40:02.968647250+00:00,2026-07-26T20:53:17.995027814+00:00,0,cpu-q-188,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32130915_0,32130915,0,32130915_0/cpu_openmp/cpu_openmp_hll.csv,0,cpu_openmp,blast_wave,hll,8,1,1,repository_default_openmp,76,0,4000,4000,16000000,19350,6896.9489,2.81,44.9,6898.581359616,482024.56,114.82,6989%,9020156,278,9489,6628166,2684688,2026-07-26T09:51:01.368066272+00:00,2026-07-26T11:45:59.961908279+00:00,0,cpu-q-548,3D_task,ee703c05c778624ac02c2bfe2f3ff2a84338c804
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,1,1,3,repository_default_openmp,76,0,500,500,250000,2334,6.8387,341.29,85.3,6.943417344,515.21,0.27,7483%,146664,59,4432,206,4268,2026-07-26T11:51:25.650261969+00:00,2026-07-26T11:51:32.606103928+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,1,2,3,repository_default_openmp,76,0,500,500,250000,2334,6.8561,340.43,85.1,6.928186112,515.02,0.25,7459%,146672,5,5024,386,4722,2026-07-26T11:51:32.778531550+00:00,2026-07-26T11:51:39.715316322+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,1,3,3,repository_default_openmp,76,0,500,500,250000,2334,6.9618,335.26,83.8,7.036075264,524.48,0.15,7480%,146604,52,4444,212,4632,2026-07-26T11:51:39.872003344+00:00,2026-07-26T11:51:46.916791453+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,1,1,3,repository_default_openmp,76,0,500,500,250000,2334,5.2561,444.06,111.0,5.322605312,397.35,0.05,7523%,146600,25,4541,114,3078,2026-07-26T20:55:37.104816306+00:00,2026-07-26T20:55:42.430573213+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,1,2,3,repository_default_openmp,76,0,500,500,250000,2334,5.0306,463.96,116.0,5.071534592,380.06,0.21,7518%,146932,41,5065,134,3296,2026-07-26T20:55:42.477044951+00:00,2026-07-26T20:55:47.551752583+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32178282_1,32178282,1,32178282_1/cpu_openmp/cpu_openmp_hllc.csv,1,cpu_openmp,blast_wave,hllc,1,3,3,repository_default_openmp,76,0,500,500,250000,2334,5.3303,437.88,109.5,5.375397120,402.58,0.08,7516%,146788,23,4519,340,3873,2026-07-26T20:55:47.598379537+00:00,2026-07-26T20:55:52.977091627+00:00,0,cpu-q-110,3D_task,2a509747a004965ee75f6c8457436b9cd4d57a06
euler,32145291_1,32145291,1,32145291_1/cpu_openmp/cpu_openmp_hllc.csv,0,cpu_openmp,blast_wave,hllc,2,1,3,repository_default_openmp,76,0,1000,1000,1000000,4766,90.8133,52.48,52.5,90.983741184,6844.79,1.10,7527%,570312,49,5160,1879,57247,2026-07-26T11:55:31.892717049+00:00,2026-07-26T11:57:02.888974416+00:00,0,cpu-q-548,3D_task,2430cd15090dffeafaf425880c476286841d434c
