experiment,case,solver,backend,n,nx,ny,total_cells,steps,samples,median_wall_seconds,minimum_wall_seconds,maximum_wall_seconds
euler,shock_bubble,hllc,cpu_openmp,2,1000,394,394000,14399,3,59.213675264,58.524888320,61.368956160
euler,shock_bubble,hllc,cpu_openmp,4,2000,788,1576000,29288,1,918.239932416,918.239932416,918.239932416
euler,shock_bubble,hllc,gpu,1,500,197,98500,7008,3,2.229946880,2.216677888,2.365421568
euler,shock_bubble,hllc,gpu,2,1000,394,394000,14399,3,10.088101376,10.082826496,10.119128320
euler,shock_bubble,hllc,gpu,4,2000,788,1576000,29288,1,67.161634304,67.161634304,67.161634304
euler,shock_bubble,hllc,gpu,8,4000,1576,6304000,59222,1,515.727097088,515.727097088,515.727097088
euler,shock_bubble,hllc,mpi,1,500,197,98500,7008,3,11.097187584,10.879069440,11.240159488
euler,shock_bubble,hllc,mpi,2,1000,394,394000,14399,3,58.442511104,56.624917248,59.346900992
euler,shock_bubble,hllc,mpi,4,2000,788,1576000,29288,1,501.308029696,501.308029696,501.308029696
euler,shock_bubble,hlld,cpu_openmp,1,500,197,98500,7008,3,9.815498496,9.477891584,10.120211456
euler,shock_bubble,hlld,cpu_openmp,2,1000,394,394000,14399,3,63.330739968,61.972664064,63.783206912
euler,shock_bubble,hlld,cpu_openmp,4,2000,788,1576000,29288,1,922.428342528,922.428342528,922.428342528
euler,shock_bubble,hlld,gpu,1,500,197,98500,7008,3,2.205415168,2.205410560,2.218865408
euler,shock_bubble,hlld,gpu,2,1000,394,394000,14399,3,9.592815104,9.564449024,10.055528704
euler,shock_bubble,hlld,gpu,4,2000,788,1576000,29288,1,63.072854272,63.072854272,63.072854272
euler,shock_bubble,hlld,gpu,8,4000,1576,6304000,59215,1,484.163368192,484.163368192,484.163368192
euler,shock_bubble,hlld,mpi,1,500,197,98500,7008,3,15.370541056,15.242012416,15.573955840
euler,shock_bubble,hlld,mpi,2,1000,394,394000,14399,3,86.602475008,86.084162560,86.834115584
euler,shock_bubble,hlld,mpi,4,2000,788,1576000,29288,1,751.817147136,751.817147136,751.817147136
