# commit_message: UPDATE: fix hlld
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,0.82,0.38,0.28,114832,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,0.92,0.58,0.29,114660,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,13366,6.93,6.51,0.32,115072,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.74,0.43,0.29,114660,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.86,0.41,0.32,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,1.05,0.70,0.31,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,7137,10.15,9.80,0.31,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.85,0.46,0.34,130824,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,2.23,1.87,0.31,129244,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,3.47,3.09,0.32,129244,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,8501,11.20,10.68,0.45,129244,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,2.57,2.15,0.36,129244,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,3.48,3.01,0.36,198868,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,5.46,4.94,0.40,198868,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,4483,21.60,21.18,0.39,198868,2.debug_hlld,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,3.91,3.49,0.36,198868,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,13.95,13.54,0.37,191684,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,23.84,23.31,0.48,191684,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,7013,29.64,29.24,0.36,191684,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,16.36,15.90,0.32,191684,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,24.45,23.89,0.50,469428,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,39.48,38.97,0.51,469428,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,1285,22.27,21.75,0.49,469428,2.debug_hlld,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,28.33,27.63,0.65,469428,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,107.57,106.79,0.69,441384,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,231.04,230.57,0.49,441384,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,7894,125.02,124.51,0.48,441384,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,124.39,123.90,0.47,441384,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,194.13,192.67,1.42,1551592,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,313.09,312.00,1.06,1551592,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,3647,249.16,248.17,1.02,1551592,2.debug_hlld,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,225.09,223.86,1.14,1551592,2.debug_hlld,-arch=sm_80
