# commit_message: UPDATE: fix hlld
arch,case,solver,n,nx,ny,total_cells,total_steps,real_seconds,user_seconds,sys_seconds,max_rss_kb,git_branch,cuda_arch
gpu,orszag_tang,hll,1,192,192,36864,1249,0.78,0.37,0.30,114864,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,1,192,192,36864,1334,1.10,0.57,0.31,115100,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,1,192,192,36864,13366,7.07,6.50,0.30,114976,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,1,192,192,36864,1279,0.75,0.43,0.28,115100,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,1,400,400,160000,516,0.74,0.42,0.28,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,1,400,400,160000,577,1.11,0.70,0.29,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,1,400,400,160000,7137,10.25,9.78,0.31,130824,2.debug_hlld,-arch=sm_80
gpu,rotor,force,1,400,400,160000,538,0.83,0.49,0.31,130820,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,2,384,384,147456,2606,2.29,1.87,0.31,129256,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,2,384,384,147456,2842,3.45,3.10,0.31,129256,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,2,384,384,147456,8501,11.43,10.79,0.31,129256,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,2,384,384,147456,2683,2.56,2.18,0.31,129196,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,2,800,800,640000,1099,3.57,3.00,0.34,198916,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,2,800,800,640000,1175,5.43,4.94,0.34,198916,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,2,800,800,640000,4483,21.89,21.11,0.36,198880,2.debug_hlld,-arch=sm_80
gpu,rotor,force,2,800,800,640000,1124,4.02,3.47,0.38,198592,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,4,768,768,589824,5409,14.32,13.45,0.37,191808,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,4,768,768,589824,6084,24.31,23.25,0.37,191808,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,4,768,768,589824,7013,29.98,29.16,0.34,191808,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,4,768,768,589824,5560,16.32,15.87,0.32,191808,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,4,1600,1600,2560000,2274,24.59,23.78,0.47,469556,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,4,1600,1600,2560000,2375,39.64,38.87,0.50,469552,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,4,1600,1600,2560000,1285,22.36,21.65,0.49,469552,2.debug_hlld,-arch=sm_80
gpu,rotor,force,4,1600,1600,2560000,2308,28.48,27.67,0.49,469552,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hll,8,1536,1536,2359296,11100,109.53,106.15,0.64,441404,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hllc,8,1536,1536,2359296,15482,233.42,229.54,0.69,441404,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,hlld,8,1536,1536,2359296,7894,125.04,124.47,0.47,441404,2.debug_hlld,-arch=sm_80
gpu,orszag_tang,force,8,1536,1536,2359296,11271,124.36,123.86,0.45,441408,2.debug_hlld,-arch=sm_80
gpu,rotor,hll,8,3200,3200,10240000,4652,194.00,192.96,0.98,1551640,2.debug_hlld,-arch=sm_80
gpu,rotor,hllc,8,3200,3200,10240000,4779,447.64,446.58,1.10,1551640,2.debug_hlld,-arch=sm_80
gpu,rotor,hlld,8,3200,3200,10240000,3647,468.75,467.09,1.34,1551804,2.debug_hlld,-arch=sm_80
gpu,rotor,force,8,3200,3200,10240000,4695,224.85,223.81,0.97,1551640,2.debug_hlld,-arch=sm_80
