case,omp_s,mpi_s,gpu_s,gpu_speedup_vs_omp,gpu_speedup_vs_mpi,gpu_time_pct_of_omp,gpu_time_pct_of_mpi,gpu_time_saved_pct_vs_omp,gpu_time_saved_pct_vs_mpi,gpu_share_of_all_three_pct
blast,52.7452,25.8417,1.78362,29.571994,14.488344,3.381578,6.902100,96.618422,93.097900,2.219247
imtg,1195.1,576.667,50.8744,23.491186,11.335112,4.256916,8.822145,95.743084,91.177855,2.791246
